		FP1 - Force			FP1 - Moment			FP1 - CoP			FP2 - Force			FP2 - Moment			FP2 - CoP			Combined Force			Combined Moment			Combined CoP		
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
8	2	56.0693	-0.190076	-357.883	-6589.89	-25270.7	3981.19	161.389	272.414	0	-0.247362	-3.2504	-470.796	-67.4573	27895.5	-115.998	-172.748	254.143	0	55.822	-3.44048	-828.68	-217365	-25120.2	-9628.72	-28.4441	262.034	0
8	3	55.9699	-0.19072	-358.114	-6627.52	-25271.2	3981.34	161.433	272.507	0	-0.246961	-3.23995	-470.935	-94.9392	27905.4	-116.052	-172.745	254.202	0	55.7229	-3.43067	-829.05	-217523	-25084.7	-9605.98	-28.3942	262.109	0
8	4	55.9367	-0.190663	-358.068	-6626.9	-25246.4	3954.44	161.493	272.507	0	-0.245893	-3.11844	-470.847	-117.79	27923.7	-115.627	-172.695	254.25	0	55.6908	-3.30911	-828.915	-217506	-25030.7	-9652.23	-28.3352	262.137	0
8	5	55.9703	-0.1909	-357.977	-6650.5	-25285.3	3963.18	161.366	272.578	0	-0.24522	-3.05138	-470.344	-129.104	27921.6	-115.273	-172.636	254.275	0	55.725	-3.24228	-828.321	-217387	-24978.6	-9667.31	-28.2895	262.185	0
8	6	56.0255	-0.190261	-357.471	-6612.46	-25301.5	3944.92	161.221	272.498	0	-0.246955	-3.1619	-470.342	-77.589	27944.9	-115.524	-172.586	254.165	0	55.7785	-3.35216	-827.813	-217173	-25090.7	-9673.87	-28.4395	262.082	0
8	7	55.9702	-0.190645	-357.701	-6631.51	-25299.2	3954.07	161.273	272.539	0	-0.246762	-3.21737	-470.569	-98.7197	27908.6	-115.873	-172.692	254.21	0	55.7234	-3.40801	-828.27	-217332	-25121.1	-9638.38	-28.464	262.126	0
8	8	55.9588	-0.190615	-357.702	-6627.32	-25289.4	3981.08	161.3	272.528	0	-0.247892	-3.3067	-470.523	-97.4603	27969.1	-116.112	-172.557	254.207	0	55.7109	-3.49732	-828.226	-217319	-25039.5	-9587.87	-28.3676	262.12	0
8	9	55.9812	-0.19079	-358.16	-6631.89	-25285.7	3961.09	161.401	272.517	0	-0.247391	-3.25122	-470.89	-85.935	27933.2	-116.03	-172.68	254.183	0	55.7338	-3.44201	-829.049	-217519	-25051	-9626.42	-28.3529	262.103	0
9	0	56.0813	-0.190832	-358.297	-6655.17	-25276	3958.73	161.455	272.575	0	-0.246663	-3.12944	-470.664	-90.0883	27960.2	-115.512	-172.594	254.191	0	55.8346	-3.32027	-828.961	-217519	-24935	-9681.91	-28.2101	262.137	0
9	1	55.9818	-0.191296	-358.024	-6692.55	-25290.5	3960.81	161.361	272.693	0	-0.246314	-3.1516	-470.526	-119.092	27950.4	-115.629	-172.598	254.253	0	55.7355	-3.3429	-828.55	-217482	-24986.5	-9649.75	-28.2912	262.221	0
9	2	55.9699	-0.190286	-357.654	-6603.18	-25275.8	3945.18	161.329	272.462	0	-0.247288	-3.27348	-470.524	-114.816	27955.2	-116.048	-172.587	254.244	0	55.7226	-3.46377	-828.178	-217299	-25051.6	-9634.25	-28.3832	262.112	0
9	3	55.9697	-0.190243	-357.837	-6589.33	-25275.8	3947.58	161.365	272.414	0	-0.246873	-3.26158	-470.568	-105.305	27894.7	-116.06	-172.721	254.224	0	55.7229	-3.45182	-828.405	-217333	-25079.7	-9634.66	-28.4095	262.081	0
